ID_Vendita, Data      , ID_Prodotto, ID_Cliente, Quantità, ID_Negozio
      1472, 2024-01-19,         119,         18,        9,          3
      1423, 2024-01-19,         109,         39,        5,          2
      1211, 2024-01-19,         101,          2,        6,          5
      1270, 2024-01-19,         116,         17,        9,          5
      1239, 2024-01-19,         118,         32,        2,          4
      1325, 2024-01-19,         105,         34,        2,          5
      1420, 2024-01-19,         105,         26,        7,          4
      1274, 2024-01-20,         104,         12,        7,          1
      1378, 2024-01-20,         117,         45,        5,          5
      1236, 2024-01-20,         106,         30,        7,          1
      1243, 2024-01-20,         120,         14,        1,          3
      1300, 2024-01-20,         101,         29,        4,          5
      1022, 2024-01-21,         105,         27,       10,          4
      1044, 2024-01-21,         117,         40,        9,          1
      1298, 2024-01-21,         117,         36,       10,          4
      1005, 2024-01-21,         119,         24,        2,          2
      1318, 2024-01-21,         115,         20,        7,          5
      1310, 2024-01-22,         113,         34,       10,          3
      1396, 2024-01-22,         112,          8,        5,          4
      1013, 2024-01-22,         109,         12,        6,          3
      1444, 2024-01-22,         105,         18,        9,          1
      1026, 2024-01-22,         103,         10,        2,          3
      1356, 2024-01-23,         113,         49,        1,          1
      1255, 2024-01-23,         117,         26,        2,          5
      1466, 2024-01-23,         101,          3,        4,          4
      1429, 2024-01-23,         105,         25,        6,          2
      1151, 2024-01-23,         108,          4,        3,          3
      1125, 2024-01-23,         113,         32,       10,          2
      1478, 2024-01-24,         107,         15,        7,          5
      1092, 2024-01-24,         108,         27,        7,          2
      1352, 2024-01-24,         105,         44,        2,          1
      1371, 2024-01-24,         106,         25,        1,          1
      1190, 2024-01-24,         116,         43,        9,          4
      1225, 2024-01-24,         116,         38,        2,          3
      1483, 2024-01-24,         115,          4,        7,          2
      1011, 2024-01-24,         102,         47,        3,          4
      1336, 2024-01-24,         103,         40,        7,          2
      1278, 2024-01-24,         119,         21,        5,          5
      1275, 2024-01-24,         103,         23,        4,          2
      1392, 2024-01-25,         120,         15,        7,          3
      1285, 2024-01-25,         105,         12,        6,          4
      1370, 2024-01-25,         104,          8,        8,          1
      1347, 2024-01-25,         117,         38,        7,          2
      1093, 2024-01-26,         116,         34,        2,          5
      1447, 2024-01-26,         105,         35,        1,          2
      1368, 2024-01-26,         108,         16,        5,          2
      1140, 2024-01-27,         115,         18,        2,          2
      1316, 2024-01-27,         114,         36,        4,          1
      1317, 2024-01-27,         111,         47,        6,          5
      1178, 2024-01-27,         101,          3,        7,          4
      1358, 2024-01-27,         105,         12,        8,          4
      1184, 2024-01-27,         113,         35,        4,          1
      1168, 2024-01-28,         118,          7,        9,          4
      1117, 2024-01-28,         101,         49,        4,          5
      1320, 2024-01-28,         118,         35,        3,          2
      1169, 2024-01-28,         119,         29,        8,          1
      1161, 2024-01-28,         120,         46,        3,          4
      1452, 2024-01-29,         113,         29,       10,          5
      1500, 2024-01-29,         113,         29,       10,          1
      1154, 2024-01-29,         118,         29,        5,          2
      1097, 2024-01-29,         117,         44,        2,          2
      1017, 2024-01-30,         113,         31,        7,          3
      1319, 2024-01-30,         113,         19,       10,          2
      1172, 2024-01-30,         102,          3,        9,          3
      1311, 2024-01-30,         114,         47,        5,          5
      1332, 2024-01-30,         113,         17,        4,          3
      1419, 2024-01-30,         101,         40,       10,          5
      1256, 2024-01-31,         120,         29,        4,          4
      1218, 2024-02-01,         103,          2,        6,          5
      1387, 2024-02-01,         112,         26,        9,          5
      1353, 2024-02-01,         106,         49,        3,          1
      1481, 2024-02-01,         110,         49,        1,          5
      1193, 2024-02-01,         105,         37,        6,          5
      1157, 2024-02-01,         104,         32,        6,          2
      1342, 2024-02-01,         115,         50,        8,          3
      1268, 2024-02-01,         116,         38,        6,          3
      1216, 2024-02-01,         107,         11,        9,          2
      1362, 2024-02-02,         116,          8,        3,          2
      1023, 2024-02-02,         109,          5,        1,          1
      1344, 2024-02-02,         115,         44,        9,          5
      1246, 2024-02-02,         115,          2,        6,          1
      1123, 2024-02-02,         106,          7,        1,          4
      1495, 2024-02-02,         110,         25,       10,          2
      1114, 2024-02-02,         108,         17,        4,          2
      1277, 2024-02-02,         118,         22,        7,          2
      1488, 2024-02-02,         104,          6,        1,          1
      1487, 2024-02-02,         107,         43,        1,          3
      1305, 2024-02-02,         115,         36,        2,          4
      1296, 2024-02-02,         111,         43,        1,          4
      1465, 2024-02-02,         117,         49,        6,          5
      1294, 2024-02-02,         115,         46,        1,          4
      1077, 2024-02-03,         112,         21,        9,          2
      1469, 2024-02-03,         114,         30,        6,          3
      1435, 2024-02-03,         102,         42,       10,          4
      1122, 2024-02-03,         106,         49,        6,          3
      1112, 2024-02-04,         118,         49,        6,          3
      1113, 2024-02-04,         120,          7,        4,          5
      1131, 2024-02-04,         104,         30,        4,          3
      1062, 2024-02-04,         116,         41,        2,          5
      1327, 2024-02-04,         107,         26,        5,          4
      1290, 2024-02-04,         117,         17,       10,          4
      1486, 2024-02-04,         120,         37,        9,          5
      1155, 2024-02-05,         105,         39,        5,          1
      1065, 2024-02-05,         110,         23,       10,          5
      1376, 2024-02-05,         115,         26,        5,          4
      1281, 2024-02-05,         118,          6,        2,          1
      1238, 2024-02-05,         102,         23,       10,          1
      1267, 2024-02-06,         115,         41,        2,          4
      1128, 2024-02-06,         116,         23,        2,          5
      1187, 2024-02-06,         109,         14,        1,          4
      1335, 2024-02-06,         110,         43,        2,          5
      1282, 2024-02-07,         110,         27,        6,          3
      1312, 2024-02-07,         119,         24,        2,          5
      1018, 2024-02-07,         111,         36,        1,          5
      1224, 2024-02-07,         117,         37,        1,          5
      1464, 2024-02-08,         101,         30,        2,          5
      1366, 2024-02-08,         103,         23,        9,          4
      1200, 2024-02-08,         110,         10,        1,          1
      1248, 2024-02-08,         119,         25,        6,          5
      1046, 2024-02-08,         112,         12,       10,          4
      1415, 2024-02-09,         113,         34,        4,          1
      1247, 2024-02-09,         110,         45,        9,          5
      1496, 2024-02-09,         105,          7,        2,          5
      1087, 2024-02-09,         102,         11,        3,          2
      1293, 2024-02-10,         109,         28,        6,          4
      1096, 2024-02-10,         120,         43,        7,          4
      1116, 2024-02-10,         107,         41,        2,          2
      1257, 2024-02-11,         105,         45,        7,          4
      1163, 2024-02-11,         116,         33,       10,          5
      1145, 2024-02-11,         112,          2,        7,          5
      1367, 2024-02-11,         119,         37,        1,          3
      1030, 2024-02-11,         117,          8,        3,          3
      1402, 2024-02-11,         111,         30,        4,          2
      1498, 2024-02-12,         101,          8,        3,          3
      1364, 2024-02-12,         111,         21,       10,          4
      1153, 2024-02-12,         108,          8,        8,          4
      1491, 2024-02-12,         105,         24,        6,          2
      1189, 2024-02-13,         101,         46,        4,          5
      1331, 2024-02-13,         117,         40,        8,          4
      1059, 2024-02-13,         112,         29,        5,          4
      1499, 2024-02-13,         106,         20,        5,          2
      1129, 2024-02-13,         111,         19,        4,          1
      1170, 2024-02-13,         105,          8,        2,          4
      1214, 2024-02-13,         102,          5,        9,          4
      1076, 2024-02-13,         110,         15,        1,          1
      1377, 2024-02-14,         106,         41,        5,          1
      1099, 2024-02-14,         113,         25,        9,          5
      1164, 2024-02-14,         113,         23,        6,          5
      1337, 2024-02-15,         109,         42,        5,          4
      1351, 2024-02-15,         109,         37,        9,          1
      1333, 2024-02-15,         120,          1,        7,          5
      1036, 2024-02-16,         103,         12,        4,          3
      1413, 2024-02-16,         112,         44,        7,          1
      1061, 2024-02-16,         104,         40,        1,          4
      1133, 2024-02-16,         119,         49,        1,          1
      1354, 2024-02-16,         120,         17,        5,          1
      1455, 2024-02-16,         108,         44,        6,          4
      1306, 2024-02-17,         115,         49,        1,          5
      1436, 2024-02-17,         112,         44,        2,          2
      1264, 2024-02-17,         116,         21,        3,          5
      1081, 2024-02-17,         114,         10,        4,          2
      1124, 2024-02-17,         112,          1,        6,          2
      1462, 2024-02-17,         101,          5,        9,          2
      1365, 2024-02-17,         109,         17,       10,          5
      1299, 2024-02-17,         104,         26,        8,          2
      1271, 2024-02-17,         108,         37,        3,          3
      1324, 2024-02-17,         115,         43,        3,          2
      1028, 2024-02-18,         104,         38,        1,          5
      1329, 2024-02-18,         107,          9,        3,          3
      1400, 2024-02-18,         106,         18,        3,          5
      1066, 2024-02-19,         107,          1,        3,          5
      1369, 2024-02-19,         105,          6,        4,          3
      1485, 2024-02-19,         101,         37,        3,          4
      1254, 2024-02-19,         110,          4,        8,          4
      1188, 2024-02-20,         103,         32,        4,          2
      1038, 2024-02-20,         117,         13,        2,          4
      1391, 2024-02-20,         119,         14,        1,          4
      1449, 2024-02-20,         119,         46,        5,          4
      1042, 2024-02-20,         113,         33,        9,          2
      1147, 2024-02-20,         116,         49,        4,          3
      1490, 2024-02-20,         101,         46,        3,          3
      1313, 2024-02-20,         107,         22,        4,          2
      1401, 2024-02-21,         105,         31,       10,          5
      1470, 2024-02-21,         108,         50,        2,          4
      1416, 2024-02-21,         108,          3,        7,          2
      1001, 2024-02-21,         113,         31,        6,          2
      1198, 2024-02-21,         105,         18,        8,          3
      1149, 2024-02-21,         106,         30,        4,          5
      1245, 2024-02-21,         101,         40,        3,          1
      1195, 2024-02-21,         106,         14,        5,          1
      1213, 2024-02-22,         108,         47,        8,          2
      1408, 2024-02-22,         106,         17,        2,          2
      1054, 2024-02-22,         119,         42,        8,          2
      1014, 2024-02-22,         107,         45,        5,          2
      1091, 2024-02-22,         119,         18,        5,          1
      1338, 2024-02-22,         113,         25,        5,          2
      1405, 2024-02-23,         111,         18,        8,          1
      1208, 2024-02-23,         113,         36,        6,          3
      1314, 2024-02-23,         103,          5,        2,          2
      1276, 2024-02-23,         103,         42,        8,          3
      1348, 2024-02-23,         112,         34,        6,          5
      1289, 2024-02-23,         102,         45,        3,          4
      1072, 2024-02-23,         118,         36,        6,          2
      1070, 2024-02-23,         111,         26,        8,          1
      1220, 2024-02-24,         112,         23,        1,          2
      1425, 2024-02-24,         115,         49,        7,          5
      1414, 2024-02-24,         102,         45,        6,          1
      1039, 2024-02-24,         117,         40,        9,          3
      1222, 2024-02-25,         112,         20,        8,          4
      1203, 2024-02-25,         114,         23,        2,          3
      1451, 2024-02-26,         104,         49,        9,          2
      1375, 2024-02-26,         104,         15,        9,          5
      1166, 2024-02-26,         103,         32,        3,          2
      1252, 2024-02-26,         110,         43,        2,          4
      1197, 2024-02-27,         105,         48,        2,          2
      1393, 2024-02-27,         101,          7,        3,          4
      1424, 2024-02-27,         111,         15,        1,          5
      1025, 2024-02-27,         117,         11,        3,          3
      1433, 2024-02-27,         111,         16,        7,          1
      1473, 2024-02-27,         107,         37,        7,          5
      1398, 2024-02-27,         101,         23,        1,          3
      1349, 2024-02-27,         119,         12,        1,          2
      1397, 2024-02-27,         115,         50,        5,          3
      1237, 2024-02-28,         118,         46,       10,          5
      1232, 2024-02-28,         119,         44,        6,          2
      1205, 2024-02-28,         114,         19,        6,          2
      1159, 2024-02-28,         109,         10,        9,          4
      1192, 2024-02-28,         117,          4,        9,          2
      1029, 2024-02-28,         118,          6,        8,          5
      1308, 2024-02-28,         114,         40,        9,          5
      1406, 2024-02-29,         103,         42,        2,          1
      1021, 2024-02-29,         110,         43,        4,          5
      1373, 2024-02-29,         120,         25,        6,          5
      1261, 2024-02-29,         113,         11,       10,          2
      1095, 2024-02-29,         101,         17,        2,          3
      1031, 2024-02-29,         107,         23,        3,          2
      1057, 2024-02-29,         105,         31,        2,          4
      1409, 2024-02-29,         118,         14,        9,          3
      1339, 2024-02-29,         118,         39,        6,          4
      1050, 2024-02-29,         109,          4,        5,          4
      1440, 2024-03-01,         108,         34,        8,          4
      1004, 2024-03-01,         102,         45,       10,          5
      1489, 2024-03-01,         106,         39,        1,          4
      1292, 2024-03-01,         113,         21,        3,          5
      1323, 2024-03-01,         119,         45,        6,          5
      1165, 2024-03-02,         114,         28,        2,          1
      1395, 2024-03-02,         117,         48,        5,          3
      1086, 2024-03-02,         118,         26,        9,          1
      1037, 2024-03-02,         109,         26,        5,          5
      1173, 2024-03-02,         110,         24,        1,          5
      1176, 2024-03-02,         105,         47,        2,          5
      1079, 2024-03-02,         106,          9,        5,          5
      1035, 2024-03-02,         113,         43,        9,          4
      1034, 2024-03-02,         117,         46,        9,          5
      1179, 2024-03-02,         118,         33,        3,          1
      1428, 2024-03-02,         117,         22,        5,          3
      1186, 2024-03-02,         102,         24,        7,          4
      1456, 2024-03-02,         108,         47,        9,          3
      1126, 2024-03-02,         113,         13,        8,          5
      1196, 2024-03-02,         103,         31,        5,          5
      1108, 2024-03-03,         107,         26,       10,          5
      1422, 2024-03-03,         117,         44,        2,          3
      1340, 2024-03-03,         115,         35,        9,          4
      1148, 2024-03-03,         108,         50,        2,          4
      1389, 2024-03-03,         106,         22,        4,          5
      1442, 2024-03-03,         111,         13,        1,          4
      1394, 2024-03-03,         120,          9,        6,          3
      1073, 2024-03-03,         115,         23,        8,          1
      1328, 2024-03-04,         117,          2,        1,          1
      1040, 2024-03-04,         120,         18,        8,          2
      1321, 2024-03-04,         106,         43,        3,          5
      1441, 2024-03-04,         108,         30,        8,          5
      1020, 2024-03-04,         104,         26,        3,          3
      1379, 2024-03-05,         106,         26,        1,          5
      1494, 2024-03-05,         102,         34,        8,          1
      1132, 2024-03-05,         103,         29,        7,          1
      1100, 2024-03-05,         104,          7,        1,          1
      1357, 2024-03-06,         106,         47,        8,          2
      1162, 2024-03-06,         113,         34,        1,          5
      1386, 2024-03-06,         113,         23,        2,          1
      1288, 2024-03-06,         114,         10,        9,          1
      1303, 2024-03-07,         103,         40,        4,          3
      1445, 2024-03-07,         114,         32,        4,          5
      1493, 2024-03-07,         104,         13,        3,          3
      1350, 2024-03-07,         110,         19,        9,          5
      1241, 2024-03-07,         119,         50,       10,          5
      1345, 2024-03-07,         108,         44,        4,          4
      1295, 2024-03-08,         115,          2,        7,          5
      1219, 2024-03-08,         118,          3,        4,          3
      1411, 2024-03-08,         105,         24,        8,          4
      1468, 2024-03-09,         102,         14,        3,          2
      1322, 2024-03-09,         103,         17,       10,          5
      1443, 2024-03-09,         109,         13,        8,          3
      1475, 2024-03-09,         106,         48,        1,          1
      1454, 2024-03-09,         118,         16,        2,          5
      1457, 2024-03-09,         107,         10,        1,          3
      1226, 2024-03-09,         115,         30,        1,          2
      1266, 2024-03-09,         119,         36,       10,          2
      1227, 2024-03-10,         115,          9,        1,          3
      1233, 2024-03-10,         107,         24,        7,          2
      1217, 2024-03-10,         102,         42,        6,          2
      1403, 2024-03-10,         104,         39,        5,          4
      1182, 2024-03-10,         111,          8,       10,          4
      1244, 2024-03-11,         106,          9,        8,          3
      1102, 2024-03-11,         106,         24,        2,          3
      1158, 2024-03-11,         117,         10,        3,          4
      1058, 2024-03-11,         103,          9,        6,          4
      1120, 2024-03-12,         117,         28,        1,          3
      1280, 2024-03-12,         105,         31,        3,          3
      1083, 2024-03-12,         108,         41,        7,          4
      1003, 2024-03-12,         114,         36,        3,          5
      1183, 2024-03-12,         117,         34,        3,          2
      1231, 2024-03-13,         111,         22,       10,          4
      1045, 2024-03-13,         104,         43,        2,          5
      1119, 2024-03-13,         113,         22,        6,          1
      1078, 2024-03-14,         117,         47,        9,          3
      1497, 2024-03-14,         110,          4,        9,          3
      1009, 2024-03-15,         108,          5,        1,          2
      1008, 2024-03-15,         117,          8,        9,          5
      1279, 2024-03-15,         119,         27,        7,          1
      1174, 2024-03-15,         118,         23,        5,          4
      1221, 2024-03-15,         101,         12,       10,          3
      1307, 2024-03-16,         114,         39,        3,          5
      1024, 2024-03-16,         103,         20,       10,          4
      1446, 2024-03-16,         103,         32,        1,          3
      1383, 2024-03-16,         111,         16,        6,          5
      1458, 2024-03-16,         108,         30,        9,          1
      1180, 2024-03-17,         115,         28,        5,          1
      1146, 2024-03-17,         110,         28,        7,          2
      1453, 2024-03-18,         110,         44,        2,          5
      1063, 2024-03-18,         107,         22,        8,          2
      1134, 2024-03-18,         120,         45,        6,          3
      1084, 2024-03-18,         110,         35,        5,          4
      1142, 2024-03-19,         103,         14,        1,          5
      1191, 2024-03-19,         106,         16,        6,          1
      1291, 2024-03-20,         114,         26,        3,          1
      1234, 2024-03-20,         106,         17,        2,          1
      1089, 2024-03-20,         105,          2,       10,          4
      1479, 2024-03-20,         119,          9,        9,          4
      1272, 2024-03-20,         104,         25,       10,          2
      1032, 2024-03-20,         105,         47,        6,          5
      1110, 2024-03-21,         113,         50,        2,          1
      1204, 2024-03-21,         109,         21,        2,          4
      1064, 2024-03-21,         113,         11,        3,          3
      1090, 2024-03-22,         106,          7,       10,          2
      1287, 2024-03-22,         112,          7,        8,          4
      1249, 2024-03-22,         117,         39,        9,          2
      1006, 2024-03-23,         118,         15,        9,          1
      1056, 2024-03-24,         116,         28,       10,          2
      1171, 2024-03-24,         115,          1,        8,          4
      1482, 2024-03-24,         120,         24,       10,          2
      1283, 2024-03-24,         106,         40,        2,          5
      1463, 2024-03-25,         115,          1,        4,          2
      1088, 2024-03-25,         105,         38,        7,          3
      1341, 2024-03-25,         104,          3,        6,          2
      1160, 2024-03-26,         101,         19,        5,          2
      1130, 2024-03-26,         105,         32,        3,          4
      1450, 2024-03-26,         114,         29,        5,          1
      1309, 2024-03-26,         102,         35,        4,          2
      1355, 2024-03-26,         102,         10,        5,          1
      1390, 2024-03-26,         104,          7,       10,          2
      1399, 2024-03-26,         114,         29,        1,          2
      1228, 2024-03-26,         105,         34,        9,          2
      1007, 2024-03-27,         103,         29,       10,          4
      1085, 2024-03-27,         109,         25,       10,          2
      1209, 2024-03-27,         113,         29,        9,          3
      1384, 2024-03-27,         108,          7,        4,          3
      1388, 2024-03-27,         105,         21,        5,          4
      1343, 2024-03-27,         102,         37,        7,          1
      1104, 2024-03-28,         112,         49,        3,          3
      1107, 2024-03-28,         119,         22,        7,          5
      1010, 2024-03-28,         110,         29,       10,          5
      1194, 2024-03-28,         105,         21,        6,          2
      1127, 2024-03-28,         115,         30,        2,          4
      1016, 2024-03-28,         118,         27,        6,          3
      1437, 2024-03-29,         103,          2,        2,          1
      1175, 2024-03-29,         113,          8,        8,          3
      1253, 2024-03-29,         117,         46,        8,          1
      1101, 2024-03-29,         104,          6,        8,          5
      1284, 2024-03-29,         101,         34,        3,          1
      1049, 2024-03-29,         112,         48,        9,          3
      1094, 2024-03-29,         113,         27,        4,          1
      1027, 2024-03-29,         116,         40,        2,          4
      1461, 2024-03-30,         106,         20,        5,          5
      1426, 2024-03-30,         106,          4,        8,          4
      1053, 2024-03-30,         120,          8,        6,          1
      1240, 2024-03-30,         115,         17,        2,          1
      1260, 2024-03-30,         102,         37,        6,          4
      1138, 2024-03-30,         117,         40,       10,          1
      1144, 2024-03-30,         111,         50,        9,          3
      1360, 2024-03-30,         106,         24,        7,          1
      1075, 2024-03-30,         109,         40,        8,          2
      1215, 2024-03-30,         108,         20,        1,          1
      1427, 2024-03-30,         103,         29,        6,          2
      1460, 2024-03-30,         119,         39,        9,          5
